table_name,column_name,data_type,row_count,null_count,null_percentage,populated_percentage,distinct_value_count,min_value,max_value,max_actual_length,sample_values
referral_rewards,id,int64,3,0,0.0,100.0,3,1,3,1,1; 3; 2
referral_rewards,reward_value,object,3,0,0.0,100.0,3,10 days,20 days,7,10 days; 15 days; 20 days
referral_rewards,created_at,object,3,0,0.0,100.0,3,2024-03-13 02:44:32+00:00,2024-03-13 02:45:15+00:00,20,2024-03-13T02:44:32Z; 2024-03-13T02:45:15Z; 2024-03-13T02:45:11Z
referral_rewards,reward_type,int64,3,0,0.0,100.0,1,1,1,1,1
