table_name,column_name,data_type,row_count,null_count,null_percentage,populated_percentage,distinct_value_count,min_value,max_value,max_actual_length,sample_values
paid_transactions,transaction_id,object,14,0,0.0,100.0,14,07f21743663aacb7d212c286d47a14de,f192fca27d438c053db425fade152d66,32,1d1eb8a9e864a1cccb2d850398461807; 8623f36f36e709fbefe43defcac59583; 93d48d85048e102d32d02df43138d283; 07f21743663aacb7d212c286d47a14de; bd02c54aeca60d0e82f784be0ad4c84d
paid_transactions,transaction_status,object,14,0,0.0,100.0,1,PAID,PAID,4,PAID
paid_transactions,transaction_at,object,14,0,0.0,100.0,14,2024-05-01 05:07:30.374000+00:00,2024-05-21 09:47:11.535000+00:00,24,2024-05-02T04:49:01.497Z; 2024-05-02T07:53:43.179Z; 2024-05-20T04:23:09.444Z; 2024-05-02T14:06:39.196Z; 2024-05-03T02:00:59.409Z
paid_transactions,transaction_location,object,14,0,0.0,100.0,6,ADITYAWARMAN,SUNSET ROAD,19,ARTERI PONDOK INDAH; BENHIL; SUNSET ROAD; ADITYAWARMAN; MAMPANG
paid_transactions,timezone_transaction,object,14,0,0.0,100.0,2,Asia/Jakarta,Asia/Makassar,13,Asia/Jakarta; Asia/Makassar
paid_transactions,transaction_type,object,14,0,0.0,100.0,2,NEW,REJOIN,6,NEW; REJOIN
